rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,e-value-kingdom,e-value-phylum,e-value-class,e-value-order,e-value-family,e-value-genus,per-ident-genus,per-ident-species
family,Fungi,Ascomycota,Leotiomycetes,,,,,,,,,e-100,,,
genus,Fungi,Ascomycota,Leotiomycetes,,,,,,,,,,,0.95,
species,Fungi,Ascomycota,Leotiomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Sordariomycetes,,,,,,,,e-120,,,,
family,Fungi,Ascomycota,Sordariomycetes,Microascales,,,,,,,,e-100,,,
genus,Fungi,Ascomycota,Sordariomycetes,Microascales,,,,,,,,,,0.95,
species,Fungi,Ascomycota,Sordariomycetes,Microascales,,,,,,,,,,,0.98
family,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,,,,,e-100,,,
genus,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,,,,,,,0.95,
species,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,,,,,,,,0.98
family,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,,,,,,,,e-100,,,
genus,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,,,,,,,,,,0.95,
species,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,,,,,,,,,,,0.98
family,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,,,,,e-100,,,
genus,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,,,,,,,0.95,
species,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Sordariomycetes,Glomerellales,,,,,,,e-120,,,,
family,Fungi,Ascomycota,Sordariomycetes,Glomerellales,,,,,,,,e-100,,,
genus,Fungi,Ascomycota,Sordariomycetes,Glomerellales,,,,,,,,,,0.95,
species,Fungi,Ascomycota,Sordariomycetes,Glomerellales,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,,,,,,,e-120,,,,
family,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,,,,,,,,e-100,,,
genus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,,,,,,,,,,0.95,
species,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Dothideomycetes,,,,,,,,e-120,,,,
family,Fungi,Ascomycota,Dothideomycetes,,,,,,,,,e-100,,,
genus,Fungi,Ascomycota,Dothideomycetes,,,,,,,,,,,0.95,
species,Fungi,Ascomycota,Dothideomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Sordariomycetes,,,,,,,,e-120,,,,
family,Fungi,Ascomycota,Sordariomycetes,,,,,,,,,e-100,,,
genus,Fungi,Ascomycota,Sordariomycetes,,,,,,,,,,,0.95,
species,Fungi,Ascomycota,Sordariomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Sordariomycetes,Lulworthiales,,,,,,,e-90,,,,
family,Fungi,Ascomycota,Sordariomycetes,Lulworthiales,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Sordariomycetes,Lulworthiales,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Sordariomycetes,Lulworthiales,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Pezizomycetes,,,,,,,,e-120,,,,
family,Fungi,Ascomycota,Pezizomycetes,,,,,,,,,e-100,,,
genus,Fungi,Ascomycota,Pezizomycetes,,,,,,,,,,,0.95,
species,Fungi,Ascomycota,Pezizomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Pezizomycetes,Pezizales,,,,,,,e-90,,,,
family,Fungi,Ascomycota,Pezizomycetes,Pezizales,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Pezizomycetes,Pezizales,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,,,,,,,e-100,,,,
family,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,,,,,,,,,,,0.98
phylum,Fungi,Basidiobolomycota,,,,,,,e-75,,,,,,
species,Fungi,Basidiobolomycota,,,,,,,,,,,,,0.97
class,Fungi,Basidiomycota,,,,,,,e-75,,,,,,
order,Fungi,Basidiomycota,,,,,,,,,e-120,,,,
genus,Fungi,Basidiomycota,,,,,,,,,,,,0.90,
species,Fungi,Basidiomycota,,,,,,,,,,,,,0.98
class,Fungi,Basidiomycota,Wallemiomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Wallemiomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Exobasidiomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Exobasidiomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Malasseziomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Malasseziomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Moniliellomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Moniliellomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Ustilaginomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Ustilaginomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Agaricostilbomycetes,,,,,,,e-75,,,,,
order,Fungi,Basidiomycota,Agaricostilbomycetes,,,,,,,,e-100,,,,
class,Fungi,Basidiomycota,Cystobasidiomycetes,,,,,,,e-75,,,,,
